Path_classe,Release,Loc,Revision,Author_Number,Bug_Fix,Age_class,Churn,Loc_Added,ChgSetSize,Loc_Touched,Loc_Weighted_Methods,Variance_Loc_Added,Buggy
lang/java/src/java/org/apache/avro/AvroRuntimeException.java,refs/tags/release-1.3.3-rc1,3,1,1,1,2088,29,29,863,29,3.0,0.0,NO
lang/java/src/java/org/apache/avro/AvroTypeException.java,refs/tags/release-1.3.3-rc1,4,1,1,1,2088,29,29,863,29,4.0,0.0,NO
lang/java/src/java/org/apache/avro/Protocol.java,refs/tags/release-1.3.3-rc1,54,3,3,3,2092,388,393,893,401,54.0,27985.1875,NO
lang/java/src/java/org/apache/avro/Schema.java,refs/tags/release-1.3.3-rc1,99,7,7,7,2092,1015,1431,905,1892,99.0,13978.581630628843,YES
lang/java/src/java/org/apache/avro/SchemaParseException.java,refs/tags/release-1.3.3-rc1,3,1,7,1,2088,26,26,863,26,3.0,0.0,NO
lang/java/src/java/org/apache/avro/file/Codec.java,refs/tags/release-1.3.3-rc1,2,4,11,4,2094,-59,77,59,243,2.0,1.4036363636363627,NO
lang/java/src/java/org/apache/avro/file/CodecFactory.java,refs/tags/release-1.3.3-rc1,12,2,11,2,2094,-6,0,25,6,12.0,0.0,NO
lang/java/src/java/org/apache/avro/file/DataFileConstants.java,refs/tags/release-1.3.3-rc1,4,3,13,3,2090,36,41,875,48,4.0,239.6875,NO
lang/java/src/java/org/apache/avro/file/DataFileReader.java,refs/tags/release-1.3.3-rc1,20,3,13,3,2094,129,205,896,294,20.0,836.6400000000001,NO
lang/java/src/java/org/apache/avro/file/DataFileStream.java,refs/tags/release-1.3.3-rc1,29,7,15,7,2097,85,236,926,411,29.0,619.700957934194,NO
lang/java/src/java/org/apache/avro/file/DataFileWriter.java,refs/tags/release-1.3.3-rc1,44,7,16,7,2109,105,285,912,484,44.0,1103.0500000000002,YES
lang/java/src/java/org/apache/avro/file/DeflateCodec.java,refs/tags/release-1.3.3-rc1,14,5,16,5,2094,-41,39,67,137,14.0,1.3527575442247657,NO
lang/java/src/java/org/apache/avro/file/LengthLimitedInputStream.java,refs/tags/release-1.3.3-rc1,10,1,16,1,2090,0,0,16,0,10.0,,NO
lang/java/src/java/org/apache/avro/file/NullCodec.java,refs/tags/release-1.3.3-rc1,10,5,16,5,2094,-7,25,67,66,10.0,1.058171745152355,NO
lang/java/src/java/org/apache/avro/file/SeekableFileInput.java,refs/tags/release-1.3.3-rc1,6,1,16,1,2088,37,37,863,37,6.0,0.0,NO
lang/java/src/java/org/apache/avro/file/SeekableInput.java,refs/tags/release-1.3.3-rc1,7,1,16,1,2088,37,37,863,37,7.0,0.0,NO
lang/java/src/java/org/apache/avro/generic/GenericArray.java,refs/tags/release-1.3.3-rc1,6,1,16,1,2088,37,37,863,37,6.0,0.0,NO
lang/java/src/java/org/apache/avro/generic/GenericContainer.java,refs/tags/release-1.3.3-rc1,3,1,16,1,2088,27,27,863,27,3.0,0.0,NO
lang/java/src/java/org/apache/avro/generic/GenericData.java,refs/tags/release-1.3.3-rc1,35,6,20,6,2092,487,559,906,656,35.0,6438.63811728395,NO
lang/java/src/java/org/apache/avro/generic/GenericDatumReader.java,refs/tags/release-1.3.3-rc1,36,6,21,6,2109,594,675,915,786,36.0,5374.980368828079,NO
lang/java/src/java/org/apache/avro/generic/GenericDatumWriter.java,refs/tags/release-1.3.3-rc1,25,3,21,3,2092,199,203,897,210,25.0,7228.1875,NO
lang/java/src/java/org/apache/avro/generic/GenericFixed.java,refs/tags/release-1.3.3-rc1,1,1,21,1,2088,24,24,863,24,1.0,0.0,NO
lang/java/src/java/org/apache/avro/generic/GenericRecord.java,refs/tags/release-1.3.3-rc1,1,2,21,2,2091,33,36,877,40,1.0,147.0,NO
lang/java/src/java/org/apache/avro/generic/GenericRequestor.java,refs/tags/release-1.3.3-rc1,10,2,22,2,2095,42,56,875,70,10.0,784.0,NO
lang/java/src/java/org/apache/avro/generic/GenericResponder.java,refs/tags/release-1.3.3-rc1,10,2,22,2,2095,53,57,875,63,10.0,648.0,NO
lang/java/src/java/org/apache/avro/generic/IndexedRecord.java,refs/tags/release-1.3.3-rc1,1,1,22,1,2091,0,0,14,0,1.0,,NO
lang/java/src/java/org/apache/avro/io/BinaryData.java,refs/tags/release-1.3.3-rc1,10,3,22,3,2094,197,227,907,264,10.0,2734.576388888889,NO
lang/java/src/java/org/apache/avro/io/BinaryDecoder.java,refs/tags/release-1.3.3-rc1,84,4,24,4,2094,-627,565,892,1794,84.0,1695.9438016528925,NO
lang/java/src/java/org/apache/avro/io/BinaryEncoder.java,refs/tags/release-1.3.3-rc1,38,2,25,2,2090,868,871,867,875,38.0,64427.55555555556,NO
lang/java/src/java/org/apache/avro/io/BlockingBinaryEncoder.java,refs/tags/release-1.3.3-rc1,87,2,26,2,2091,617,627,866,638,87.0,71232.1875,NO
lang/java/src/java/org/apache/avro/io/DatumReader.java,refs/tags/release-1.3.3-rc1,7,1,26,1,2088,749,749,863,749,7.0,29251.6875,NO
lang/java/src/java/org/apache/avro/io/DatumWriter.java,refs/tags/release-1.3.3-rc1,6,1,26,1,2088,417,417,863,417,6.0,4004.1875,NO
lang/java/src/java/org/apache/avro/io/Decoder.java,refs/tags/release-1.3.3-rc1,29,2,26,2,2094,586,1758,887,2965,29.0,6861.789141051421,NO
lang/java/src/java/org/apache/avro/io/DecoderFactory.java,refs/tags/release-1.3.3-rc1,13,1,26,1,2094,0,0,24,0,13.0,,NO
lang/java/src/java/org/apache/avro/io/DirectBinaryDecoder.java,refs/tags/release-1.3.3-rc1,24,1,26,1,2094,0,0,24,0,24.0,,NO
lang/java/src/java/org/apache/avro/io/Encoder.java,refs/tags/release-1.3.3-rc1,26,1,26,1,2088,1653,1653,863,1653,26.0,27905.25,NO
lang/java/src/java/org/apache/avro/io/JsonDecoder.java,refs/tags/release-1.3.3-rc1,42,6,30,6,2094,422,431,929,447,42.0,16120.689999999997,NO
lang/java/src/java/org/apache/avro/io/JsonEncoder.java,refs/tags/release-1.3.3-rc1,30,6,31,6,2090,233,250,915,275,30.0,5577.728395061728,NO
lang/java/src/java/org/apache/avro/io/ParsingDecoder.java,refs/tags/release-1.3.3-rc1,9,1,31,1,2088,75,75,863,75,9.0,0.0,NO
lang/java/src/java/org/apache/avro/io/ParsingEncoder.java,refs/tags/release-1.3.3-rc1,10,1,31,1,2088,70,70,863,70,10.0,0.0,NO
lang/java/src/java/org/apache/avro/io/ResolvingDecoder.java,refs/tags/release-1.3.3-rc1,16,12,35,12,2109,160,284,970,425,16.0,1786.6616257088845,NO
lang/java/src/java/org/apache/avro/io/ValidatingDecoder.java,refs/tags/release-1.3.3-rc1,30,6,35,6,2089,228,235,916,245,30.0,4738.25,NO
lang/java/src/java/org/apache/avro/io/ValidatingEncoder.java,refs/tags/release-1.3.3-rc1,29,5,35,5,2090,203,207,907,215,29.0,6528.639999999999,NO
lang/java/src/java/org/apache/avro/ipc/AvroRemoteException.java,refs/tags/release-1.3.3-rc1,8,1,35,1,2088,41,41,863,41,8.0,0.0,NO
lang/java/src/java/org/apache/avro/ipc/ByteBufferInputStream.java,refs/tags/release-1.3.3-rc1,9,1,35,1,2088,87,87,863,87,9.0,0.0,NO
lang/java/src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,refs/tags/release-1.3.3-rc1,13,1,35,1,2088,91,91,863,91,13.0,0.0,NO
lang/java/src/java/org/apache/avro/ipc/DatagramServer.java,refs/tags/release-1.3.3-rc1,16,2,36,2,2092,78,80,870,83,16.0,1521.0,NO
lang/java/src/java/org/apache/avro/ipc/DatagramTransceiver.java,refs/tags/release-1.3.3-rc1,12,2,36,2,2092,83,85,870,88,12.0,1722.25,NO
lang/java/src/java/org/apache/avro/ipc/HttpServer.java,refs/tags/release-1.3.3-rc1,9,1,36,1,2088,59,59,863,59,9.0,0.0,NO
lang/java/src/java/org/apache/avro/ipc/HttpTransceiver.java,refs/tags/release-1.3.3-rc1,14,2,36,2,2092,111,115,870,122,14.0,2310.1875,NO
lang/java/src/java/org/apache/avro/ipc/LocalTransceiver.java,refs/tags/release-1.3.3-rc1,7,1,36,1,2088,116,116,863,116,7.0,36.0,NO
lang/java/src/java/org/apache/avro/ipc/Requestor.java,refs/tags/release-1.3.3-rc1,35,3,36,3,2095,451,477,899,510,35.0,4072.6377551020405,NO
