Path_classe,Release,Loc,Revision,Author_Number,Bug_Fix,Age_class,Churn,Loc_Added,ChgSetSize,Loc_Touched,Loc_Weighted_Methods,Variance_Loc_Added,Buggy
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,refs/tags/release-4.1.0,24,3,3,3,2209,-38,12,21,74,24.0,0.24000000000000005,NO
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,refs/tags/release-4.1.0,24,2,3,2,2209,-11,13,18,44,24.0,3.6033057851239674,NO
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,refs/tags/release-4.1.0,58,4,5,4,2212,-22,81,29,213,58.0,2.9204498125780907,YES
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,refs/tags/release-4.1.0,16,4,9,2,2185,0,98,563,206,16.0,113.1388888888889,NO
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,refs/tags/release-4.1.0,41,7,10,5,2209,-117,278,576,756,41.0,75.34735349716465,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,refs/tags/release-4.1.0,70,34,41,33,2212,325,1648,728,3157,70.0,1027.5705074957482,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,refs/tags/release-4.1.0,10,2,41,2,2206,1,2,21,4,10.0,0.0,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,refs/tags/release-4.1.0,22,5,41,4,2210,12,115,365,240,22.0,169.718042366691,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,refs/tags/release-4.1.0,3,2,41,2,2206,2,2,21,2,3.0,0.0,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,refs/tags/release-4.1.0,10,4,43,3,2185,156,183,297,222,10.0,1734.5600000000002,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,refs/tags/release-4.1.0,21,2,43,2,2212,-1,6,28,18,21.0,0.3333333333333333,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,refs/tags/release-4.1.0,32,21,52,20,2211,501,1009,580,1584,32.0,2398.0955541968738,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,refs/tags/release-4.1.0,2,1,52,1,2201,0,0,7,0,2.0,,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,refs/tags/release-4.1.0,26,9,54,8,2204,-7,209,436,447,26.0,359.7014602487832,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,refs/tags/release-4.1.0,34,4,56,4,2210,-219,25,55,280,34.0,3.74609375,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,refs/tags/release-4.1.0,63,7,57,7,2211,-131,36,63,212,63.0,5.5041322314049586,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,refs/tags/release-4.1.0,4,1,57,1,2202,0,0,7,0,4.0,,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,refs/tags/release-4.1.0,7,2,57,2,2206,3,8,17,17,7.0,0.5,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,refs/tags/release-4.1.0,29,4,59,4,2212,-4,24,36,56,29.0,33.0,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,refs/tags/release-4.1.0,48,3,59,3,2210,-26,13,41,60,48.0,0.5155555555555557,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,refs/tags/release-4.1.0,26,3,59,3,2209,-1,3,26,10,26.0,0.1875,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,refs/tags/release-4.1.0,7,15,61,14,2209,1026,1239,554,1511,7.0,6659.230276134123,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,refs/tags/release-4.1.0,3,2,61,2,2202,52,53,23,55,3.0,0.0,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,refs/tags/release-4.1.0,59,7,64,7,2213,-76,54,61,201,59.0,7.675338189386057,YES
